country,alpha_2_code_x,alpha_3_code_x,numeric_code_x,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age,alpha_2_code_y,alpha_3_code_y,numeric_code_y,year,"Population, total",GDP per capita (constant 2015 US$),GNI (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),Fossil fuel energy consumption (% of total),GDP growth (annual %),"Birth rate, crude (per 1,000 people)","Hospital beds (per 1,000 people)"
"Tanzania, United Republic of",TZ,TZA,834,Moderate food poverty,2022,60.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TZ,TZA,834,2022,64711821,1070.585327,74376313109,4.350272043,66.782,1.136898427,,4.566005764,35.811,
Burundi,BI,BDI,108,Moderate food poverty,2010,60.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,BI,BDI,108,2010,9376444,289.8569506,2021267251,6.493265915,57.081,,,5.124159994,46.691,
Zimbabwe,ZW,ZWE,716,Moderate food poverty,2019,60.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,ZW,ZWE,716,2019,15271368,1350.309851,25261574789,255.3049908,61.292,0.729567173,,-6.332446407,31.518,
Uganda,UG,UGA,800,Moderate food poverty,2006,60.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2006,28794003,650.2705409,9728932904,7.310676136,54.369,1.503426017,,10.78474439,45.363,1.1
"Tanzania, United Republic of",TZ,TZA,834,Moderate food poverty,2010,60.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TZ,TZA,834,2010,44758488,801.2993164,31435805580,6.200155956,60.105,0.896024084,10.61036898,6.336523427,39.729,0.74
Madagascar,MG,MDG,450,Moderate food poverty,2009,60,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MG,MDG,450,2009,21547280,457.7897549,9470022799,8.954218024,62.734,0.738132953,,-3.978708612,36.743,
"Tanzania, United Republic of",TZ,TZA,834,Moderate food poverty,2022,59.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TZ,TZA,834,2022,64711821,1070.585327,74376313109,4.350272043,66.782,1.136898427,,4.566005764,35.811,
"Tanzania, United Republic of",TZ,TZA,834,Moderate food poverty,2015,59.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TZ,TZA,834,2015,52020962,939.1273193,46684218024,5.58816953,64.651,1.091369867,,6.160628774,38.741,
"Tanzania, United Republic of",TZ,TZA,834,Moderate food poverty,2015,59.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TZ,TZA,834,2015,52020962,939.1273193,46684218024,5.58816953,64.651,1.091369867,,6.160628774,38.741,
"Tanzania, United Republic of",TZ,TZA,834,Moderate food poverty,2015,59.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TZ,TZA,834,2015,52020962,939.1273193,46684218024,5.58816953,64.651,1.091369867,,6.160628774,38.741,
Malawi,MW,MWI,454,Moderate food poverty,2014,58.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MW,MWI,454,2014,16621538,539.5626019,8640515835,23.79206495,60.899,0.58077192,,5.62527,36.791,
Samoa,WS,WSM,882,Moderate food poverty,2019,58.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,WS,WSM,882,2019,209780,4466.080755,877132815.6,0.98232657,72.157,,,4.451858917,27.895,
"Tanzania, United Republic of",TZ,TZA,834,Moderate food poverty,2010,58.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TZ,TZA,834,2010,44758488,801.2993164,31435805580,6.200155956,60.105,0.896024084,10.61036898,6.336523427,39.729,0.74
Zimbabwe,ZW,ZWE,716,Moderate food poverty,2019,58.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,ZW,ZWE,716,2019,15271368,1350.309851,25261574789,255.3049908,61.292,0.729567173,,-6.332446407,31.518,
"Tanzania, United Republic of",TZ,TZA,834,Moderate food poverty,2022,57.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TZ,TZA,834,2022,64711821,1070.585327,74376313109,4.350272043,66.782,1.136898427,,4.566005764,35.811,
Kiribati,KI,KIR,296,Moderate food poverty,2018,57.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,KI,KIR,296,2018,122084,1803.948645,403822028.3,0.564030491,66.855,,,3.4794388,28.46,
Congo,CG,COG,178,Moderate food poverty,2011,57.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CG,COG,178,2011,4609724,2307.493844,14089660179,1.759587043,61.992,,36.59055252,2.205919363,38.232,
Malawi,MW,MWI,454,Moderate food poverty,2020,57.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MW,MWI,454,2020,19533888,559.4470861,11440171501,8.625514697,63.717,0.834281208,,0.79359643,33.233,
Congo,CG,COG,178,Moderate food poverty,2011,57.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CG,COG,178,2011,4609724,2307.493844,14089660179,1.759587043,61.992,,36.59055252,2.205919363,38.232,
Lesotho,LS,LSO,426,Moderate food poverty,2018,57.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,LS,LSO,426,2018,2183603,1068.444629,3042775636,4.751803016,53.733,1.999382929,,-1.480633158,27.262,
Samoa,WS,WSM,882,Moderate food poverty,2019,57.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,WS,WSM,882,2019,209780,4466.080755,877132815.6,0.98232657,72.157,,,4.451858917,27.895,
Liberia,LR,LBR,430,Moderate food poverty,2013,57.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,LR,LBR,430,2013,4470239,717.0072804,2875704600,7.577306817,59.943,1.081236773,,8.687287816,36.138,
Malawi,MW,MWI,454,Moderate food poverty,2014,57.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MW,MWI,454,2014,16621538,539.5626019,8640515835,23.79206495,60.899,0.58077192,,5.62527,36.791,
Malawi,MW,MWI,454,Moderate food poverty,2020,57.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MW,MWI,454,2020,19533888,559.4470861,11440171501,8.625514697,63.717,0.834281208,,0.79359643,33.233,
Niger,NE,NER,562,Moderate food poverty,2019,57.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2019,22947757,532.1860246,13479237677,-2.489792651,62.897,1.917336007,,5.939852571,45.859,0.29
Congo,CG,COG,178,Moderate food poverty,2011,57,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CG,COG,178,2011,4609724,2307.493844,14089660179,1.759587043,61.992,,36.59055252,2.205919363,38.232,
Tuvalu,TV,TUV,798,Moderate food poverty,2019,56.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TV,TUV,798,2019,10581,4345.996065,72178098.54,,64.278,,,13.82209844,23.619,
Malawi,MW,MWI,454,Moderate food poverty,2020,56.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MW,MWI,454,2020,19533888,559.4470861,11440171501,8.625514697,63.717,0.834281208,,0.79359643,33.233,
Niger,NE,NER,562,Moderate food poverty,2019,56.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2019,22947757,532.1860246,13479237677,-2.489792651,62.897,1.917336007,,5.939852571,45.859,0.29
Tuvalu,TV,TUV,798,Moderate food poverty,2019,56.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TV,TUV,798,2019,10581,4345.996065,72178098.54,,64.278,,,13.82209844,23.619,
Niger,NE,NER,562,Moderate food poverty,2020,56.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2020,23717613,533.1943289,13156291934,2.89819376,61.451,1.733607522,,3.550641094,45.588,0.27
Tuvalu,TV,TUV,798,Moderate food poverty,2019,56.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TV,TUV,798,2019,10581,4345.996065,72178098.54,,64.278,,,13.82209844,23.619,
Lebanon,LB,LBN,422,Moderate food poverty,2021,56.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,LB,LBN,422,2021,5718122,5973.419339,21239241557,154.756096,75.047,3.366222464,,-7.001238625,14.948,2.73
"Tanzania, United Republic of",TZ,TZA,834,Moderate food poverty,2010,56.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,TZ,TZA,834,2010,44758488,801.2993164,31435805580,6.200155956,60.105,0.896024084,10.61036898,6.336523427,39.729,0.74
Lebanon,LB,LBN,422,Moderate food poverty,2021,56.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,LB,LBN,422,2021,5718122,5973.419339,21239241557,154.756096,75.047,3.366222464,,-7.001238625,14.948,2.73
Rwanda,RW,RWA,646,Moderate food poverty,2010,56.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2010,10317553,583.3713808,6073490474,-0.246128693,62.54,1.216792682,,7.33465645,34.836,0.74
Rwanda,RW,RWA,646,Moderate food poverty,2018,56.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2018,12487996,817.5783873,9290176579,-0.31121016,66.251,1.235147023,,8.516467226,31.158,0.72
Kiribati,KI,KIR,296,Moderate food poverty,2018,56.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,KI,KIR,296,2018,122084,1803.948645,403822028.3,0.564030491,66.855,,,3.4794388,28.46,
Lebanon,LB,LBN,422,Moderate food poverty,2021,56.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,LB,LBN,422,2021,5718122,5973.419339,21239241557,154.756096,75.047,3.366222464,,-7.001238625,14.948,2.73
Niger,NE,NER,562,Moderate food poverty,2019,56,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2019,22947757,532.1860246,13479237677,-2.489792651,62.897,1.917336007,,5.939852571,45.859,0.29
Niger,NE,NER,562,Moderate food poverty,2022,56,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2022,25311973,566.797963,14058647972,4.226217919,62.08,1.664378422,,11.9,45.029,
Samoa,WS,WSM,882,Moderate food poverty,2019,55.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,WS,WSM,882,2019,209780,4466.080755,877132815.6,0.98232657,72.157,,,4.451858917,27.895,
Uganda,UG,UGA,800,Moderate food poverty,2011,55.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2011,33354543,816.5163666,27440502305,16.56434962,57.965,2.5387867,,9.391655493,42.434,
Niger,NE,NER,562,Moderate food poverty,2020,55.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2020,23717613,533.1943289,13156291934,2.89819376,61.451,1.733607522,,3.550641094,45.588,0.27
Zimbabwe,ZW,ZWE,716,Moderate food poverty,2019,55.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,ZW,ZWE,716,2019,15271368,1350.309851,25261574789,255.3049908,61.292,0.729567173,,-6.332446407,31.518,
Cambodia,KH,KHM,116,Moderate food poverty,2005,55.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,KH,KHM,116,2005,13439202,866.3402901,6778969374,6.61525912,64.293,1.127579071,27.19978905,13.30333384,25.191,0.6
Malawi,MW,MWI,454,Moderate food poverty,2014,55.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MW,MWI,454,2014,16621538,539.5626019,8640515835,23.79206495,60.899,0.58077192,,5.62527,36.791,
Rwanda,RW,RWA,646,Moderate food poverty,2010,55.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2010,10317553,583.3713808,6073490474,-0.246128693,62.54,1.216792682,,7.33465645,34.836,0.74
Congo,CG,COG,178,Moderate food poverty,2014,55.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CG,COG,178,2014,4975880,2488.681185,18182185024,0.912139545,62.95,3.940357267,40.48060338,6.646065409,35.527,
Zimbabwe,ZW,ZWE,716,Moderate food poverty,2014,55.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,ZW,ZWE,716,2014,14207359,1377.25456,17300432200,-0.19778481,58.846,1.887789117,,1.484542622,35.122,2
Lesotho,LS,LSO,426,Moderate food poverty,2018,55.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,LS,LSO,426,2018,2183603,1068.444629,3042775636,4.751803016,53.733,1.999382929,,-1.480633158,27.262,
Madagascar,MG,MDG,450,Moderate food poverty,2018,55.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MG,MDG,450,2018,27494926,459.3303678,13299570422,8.594229589,65.27,0.532102174,,3.194356517,32.088,
Central African Republic,CF,CAF,140,Moderate food poverty,2010,54.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CF,CAF,140,2010,4492995,519.1414564,2152234866,1.4910237,49.255,2.409960175,,4.630818432,43.237,
Kiribati,KI,KIR,296,Moderate food poverty,2018,54.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,KI,KIR,296,2018,122084,1803.948645,403822028.3,0.564030491,66.855,,,3.4794388,28.46,
Niger,NE,NER,562,Moderate food poverty,2020,54.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2020,23717613,533.1943289,13156291934,2.89819376,61.451,1.733607522,,3.550641094,45.588,0.27
Zimbabwe,ZW,ZWE,716,Moderate food poverty,2014,54.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,ZW,ZWE,716,2014,14207359,1377.25456,17300432200,-0.19778481,58.846,1.887789117,,1.484542622,35.122,2
Rwanda,RW,RWA,646,Moderate food poverty,2010,54.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2010,10317553,583.3713808,6073490474,-0.246128693,62.54,1.216792682,,7.33465645,34.836,0.74
Liberia,LR,LBR,430,Moderate food poverty,2013,54.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,LR,LBR,430,2013,4470239,717.0072804,2875704600,7.577306817,59.943,1.081236773,,8.687287816,36.138,
Rwanda,RW,RWA,646,Moderate food poverty,2018,54.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2018,12487996,817.5783873,9290176579,-0.31121016,66.251,1.235147023,,8.516467226,31.158,0.72
Uganda,UG,UGA,800,Moderate food poverty,2011,54.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2011,33354543,816.5163666,27440502305,16.56434962,57.965,2.5387867,,9.391655493,42.434,
Central African Republic,CF,CAF,140,Moderate food poverty,2010,54.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CF,CAF,140,2010,4492995,519.1414564,2152234866,1.4910237,49.255,2.409960175,,4.630818432,43.237,
Mongolia,MN,MNG,496,Moderate food poverty,2016,54.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MN,MNG,496,2016,3088856,3817.919627,10260106002,0.733272227,69.865,0.863910995,,1.489784487,25.365,7.58
Niger,NE,NER,562,Moderate food poverty,2022,54.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2022,25311973,566.797963,14058647972,4.226217919,62.08,1.664378422,,11.9,45.029,
Zimbabwe,ZW,ZWE,716,Moderate food poverty,2014,54.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,ZW,ZWE,716,2014,14207359,1377.25456,17300432200,-0.19778481,58.846,1.887789117,,1.484542622,35.122,2
Madagascar,MG,MDG,450,Moderate food poverty,2018,54.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MG,MDG,450,2018,27494926,459.3303678,13299570422,8.594229589,65.27,0.532102174,,3.194356517,32.088,
Nepal,NP,NPL,524,Moderate food poverty,2006,54.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NP,NPL,524,2006,26565425,617.4776386,9112239664,6.920335807,65.868,1.749109863,8.831053568,3.364614781,24.982,0.26
Rwanda,RW,RWA,646,Moderate food poverty,2015,54.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2015,11640022,733.998585,8381415488,2.528502842,65.298,1.213694733,,8.856855597,31.833,0.74
Haiti,HT,HTI,332,Moderate food poverty,2006,54.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,HT,HTI,332,2006,9216562,1305.038138,7645355508,11.34521522,60.763,,19.38001494,1.768750603,28.613,
Kiribati,KI,KIR,296,Moderate food poverty,2009,54.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,KI,KIR,296,2009,106467,1340.275721,190501005.5,9.816438845,64.892,,,0.536786756,30.578,1.5
Zambia,ZM,ZMB,894,Moderate food poverty,2018,53.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,ZM,ZMB,894,2018,17973569,1321.250457,25904703273,7.494571927,62.342,1.437498751,,4.034493897,36.04,
Burkina Faso,BF,BFA,854,Moderate food poverty,2020,53.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,BF,BFA,854,2020,21478690,713.8421779,17105876297,1.884439938,59.731,2.132018076,,2.010772624,36.085,0.2
Central African Republic,CF,CAF,140,Moderate food poverty,2010,53.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CF,CAF,140,2010,4492995,519.1414564,2152234866,1.4910237,49.255,2.409960175,,4.630818432,43.237,
Cambodia,KH,KHM,116,Moderate food poverty,2005,53.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,KH,KHM,116,2005,13439202,866.3402901,6778969374,6.61525912,64.293,1.127579071,27.19978905,13.30333384,25.191,0.6
Guinea-Bissau,GW,GNB,624,Moderate food poverty,2014,53.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,GW,GNB,624,2014,1741122,623.6101591,1172586040,-1.509244606,58.61,1.893804361,,0.964525746,36.472,
Madagascar,MG,MDG,450,Moderate food poverty,2018,53.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MG,MDG,450,2018,27494926,459.3303678,13299570422,8.594229589,65.27,0.532102174,,3.194356517,32.088,
"Congo, the Democratic Republic of the",CD,COD,180,Moderate food poverty,2013,53.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CD,COD,180,2013,75789395,427.4585204,29868626862,0.808223101,57.762,1.146177977,4.17663824,8.481956636,44.229,
Nepal,NP,NPL,524,Moderate food poverty,2006,53.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NP,NPL,524,2006,26565425,617.4776386,9112239664,6.920335807,65.868,1.749109863,8.831053568,3.364614781,24.982,0.26
Rwanda,RW,RWA,646,Moderate food poverty,2015,53.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2015,11640022,733.998585,8381415488,2.528502842,65.298,1.213694733,,8.856855597,31.833,0.74
Uganda,UG,UGA,800,Moderate food poverty,2016,53.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2016,38799152,874.6483706,28691910473,5.706375046,61.648,1.043258433,,4.781000293,38.709,
Uganda,UG,UGA,800,Moderate food poverty,2016,53.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2016,38799152,874.6483706,28691910473,5.706375046,61.648,1.043258433,,4.781000293,38.709,
Uganda,UG,UGA,800,Moderate food poverty,2016,53.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2016,38799152,874.6483706,28691910473,5.706375046,61.648,1.043258433,,4.781000293,38.709,
"Congo, the Democratic Republic of the",CD,COD,180,Moderate food poverty,2017,53.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CD,COD,180,2017,87083398,462.4829209,36945658211,,59.411,0.770467136,,3.726947659,43.251,
Niger,NE,NER,562,Moderate food poverty,2021,53.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2021,24502140,523.2631795,15188308377,3.837868028,61.576,1.35370282,,1.383596362,45.293,
Uganda,UG,UGA,800,Moderate food poverty,2011,53.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2011,33354543,816.5163666,27440502305,16.56434962,57.965,2.5387867,,9.391655493,42.434,
Lesotho,LS,LSO,426,Moderate food poverty,2018,53.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,LS,LSO,426,2018,2183603,1068.444629,3042775636,4.751803016,53.733,1.999382929,,-1.480633158,27.262,
Rwanda,RW,RWA,646,Moderate food poverty,2020,53.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2020,13065837,826.3912572,9937664508,9.850399023,66.774,1.473869321,,-3.373687464,30.309,0.74
Zambia,ZM,ZMB,894,Moderate food poverty,2013,53.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,ZM,ZMB,894,2013,15398997,1280.770122,26888392774,6.977676055,59.878,1.434429086,10.5633241,5.05753695,39.507,
Cameroon,CM,CMR,120,Moderate food poverty,2018,53.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,CM,CMR,120,2018,24806383,1461.0197,39216305348,1.068858113,61.18,1.076009818,,3.955514239,36.716,
Kiribati,KI,KIR,296,Moderate food poverty,2009,53.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,KI,KIR,296,2009,106467,1340.275721,190501005.5,9.816438845,64.892,,,0.536786756,30.578,1.5
Niger,NE,NER,562,Moderate food poverty,2018,53.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2018,22188069,519.5469935,13405990161,2.96760366,62.454,1.793808817,,7.211418028,46.127,0.24
Niger,NE,NER,562,Moderate food poverty,2021,53.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2021,24502140,523.2631795,15188308377,3.837868028,61.576,1.35370282,,1.383596362,45.293,
Rwanda,RW,RWA,646,Moderate food poverty,2020,53.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2020,13065837,826.3912572,9937664508,9.850399023,66.774,1.473869321,,-3.373687464,30.309,0.74
Zambia,ZM,ZMB,894,Moderate food poverty,2018,53.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,ZM,ZMB,894,2018,17973569,1321.250457,25904703273,7.494571927,62.342,1.437498751,,4.034493897,36.04,
Niger,NE,NER,562,Moderate food poverty,2021,53.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2021,24502140,523.2631795,15188308377,3.837868028,61.576,1.35370282,,1.383596362,45.293,
Rwanda,RW,RWA,646,Moderate food poverty,2020,53.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2020,13065837,826.3912572,9937664508,9.850399023,66.774,1.473869321,,-3.373687464,30.309,0.74
Rwanda,RW,RWA,646,Moderate food poverty,2018,52.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,RW,RWA,646,2018,12487996,817.5783873,9290176579,-0.31121016,66.251,1.235147023,,8.516467226,31.158,0.72
Armenia,AM,ARM,51,Moderate food poverty,2016,52.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,AM,ARM,51,2016,2992300,3533.885036,10791195837,-1.403607559,74.664,4.090349217,,0.2,14.504,4.36
Cambodia,KH,KHM,116,Moderate food poverty,2010,52.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,KH,KHM,116,2010,14500726,1155.852369,13409374659,3.996395281,67.712,1.493096881,30.05983124,5.076918432,23.669,0.81
Niger,NE,NER,562,Moderate food poverty,2022,52.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,NE,NER,562,2022,25311973,566.797963,14058647972,4.226217919,62.08,1.664378422,,11.9,45.029,
Burkina Faso,BF,BFA,854,Moderate food poverty,2020,52.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,BF,BFA,854,2020,21478690,713.8421779,17105876297,1.884439938,59.731,2.132018076,,2.010772624,36.085,0.2
